name,Adsorption,Desorption,deltaW,Qev,Qregen,COPc,enthalpy_363K,enthalpy_298K,medium_enthalpy
NU-1000,0.87,0.51,0.37,70.1444201227414,163.1012255535,0.430066787571335,-19.73369,-28.04,-23.884935
T,0.71,0.52,0.19,37.054718202118,123.699306675437,0.299554776805197,-23.23855,-32.63,-27.934735
2T,1.24,0.66,0.58,110.657305283482,216.9544151036,0.510048644230821,-19.41298,-26.68,-23.04872
3T,1.43,0.7,0.73,140.270601217256,210.08811901636,0.667675077838805,-17.12515,-17.65,-17.387335
TBT,1.48,0.77,0.71,135.059826510154,204.955722333858,0.658970752181056,-17.21701,-17.66,-17.440645
TBT-N,1.14,0.42,0.72,137.393684428101,209.556618873273,0.655639918065236,-17.55597,-17.82,-17.68855
2B,1.3,0.77,0.53,101.197773581731,173.140169548776,0.584484662602934,-18.78369,-17.55,-18.16767
3B,1.6,0.78,0.82,156.894040723319,223.471618211514,0.702075914511972,-16.05526,-17.81,-16.93126
NU-1007,1.29,0.67,0.62,117.670530542489,181.290076061976,0.649073204107774,-16.18014,-17.32,-16.74985
4B,1.93,0.7,1.23,235.533011517571,282.329900552247,0.834247492231112,-12.64032,-18.04,-15.339085
5T,1.73,0.51,1.22,233.810387516946,265.200269375507,0.881637066461214,-10.87433,-17.65,-14.261575
6T,0.73,0.52,0.21,39.6061785728378,85.6769414856169,0.462273487896235,-9.28412,-11.79,-10.53498
7T,0.65,0.55,0.1,19.1334196004048,70.9515925980857,0.269668641672196,-8.31732,-10.29,-9.30118
