MOFs,Bulk_modulus_Hill average_Gpa,Youngs_modulus_Hill_average_GPa,Shear_Modulus_Hill_average_GPa,minimal_Youngs_modulus_GPa,Maximal_Youngs_modulus_GPa,"Minimal
shear modulus (GPa)",maximal_shear_modulus_GPa
T,24.452,17.399,6.2975,13.098,18.227,5.1013,7.7802
2T,16.953,9.901,3.5293,6.3228,11.895,2.3125,6.5807
3T,12.195,5.7493,2.0224,4.1665,6.4165,1.4979,2.307
2B,8.8428,7.0841,2.5921,3.7275,7.7033,1.611,4.2991
3B,5.7036,4.889,1.8012,2.4656,5.3827,1.0915,2.9095
TBT-N,5.8655,5.959,2.2391,3.6657,6.6866,1.6718,2.8904
TBT,9.0002,5.3764,1.9196,3.0745,7.1467,1.1089,3.9921
5T,7.244,4.2815,1.5275,1.8216,4.943,0.83226,3.1558
MOF-399,2.07,0.546,0.188,1.28,0.105,0.443,0.041
DUT-6,9.35,3.66,1.28,6.31,2.35,2.3,0.8
DUT-60,4.97,1.46,0.5,3.42,0.71,1.25,0.24
